id,kab_kota,desa,lat,long,pendidikan_sd,pendidikan_smp,pendidikan_sma,pendidikan_pt,kesehatan_rs,keseharan_posyandu,kesehatan_puskesmas,klb_gizi,klb_diare,klb_dbd,klb_covid,sosial_tawuran,sosial_bundir_lk,sosial_bundir_pr,pemukiman_nonlistrik,pemukiman_kumuh,pemukiman_bantaran_sungai,bencana_banjir,bencana_longsor,ekonomi_umkm,ekonomi_koperasi,ekonomi_pasar
3205362002,Garut,Indralayang,7.50763683,107.484138,2,5,3,1,0,10,1,0,0,0,2,0,0,0,0,0,5,0,0,10,0,0
3205362005,Garut,Purbayani,7.52200852,107.491598,1,3,5,3,0,9,2,0,0,0,10,0,0,0,0,0,24,0,0,21,1,3
3205362001,Garut,Caringin,7.44574005,107.521849,9,10,3,2,0,12,0,0,0,0,9,0,0,0,0,0,0,0,0,10,0,1
3205362004,Garut,Sukarame,7.43840929,107.531909,5,8,3,1,0,10,1,0,0,0,3,0,0,0,0,0,0,0,0,17,0,2
3205362006,Garut,Samudrajaya,7.50468937,107.460982,5,5,3,0,0,9,1,0,0,0,4,0,0,0,0,0,8,0,0,13,0,1
3205372006,Garut,Selaawi,7.31994881,107.478319,6,4,1,1,0,6,1,0,0,0,5,0,0,0,0,0,0,0,0,55,1,1
3205372003,Garut,Mekarmukti,7.28994352,107.466627,4,4,1,1,0,7,1,0,0,0,7,0,0,0,0,0,0,0,0,47,7,1
3205372004,Garut,Mekarmulya,7.29903117,107.494943,2,4,1,1,0,6,1,1,0,0,12,0,0,0,0,0,0,0,1,18,5,0
3205372002,Garut,Sukamulya,7.30007906,107.511758,4,7,3,2,0,6,1,0,0,0,35,0,0,0,0,0,0,0,6,44,4,1
3205372001,Garut,Sukamaju,7.30854243,107.529634,5,4,3,0,0,8,1,0,0,0,9,0,0,0,0,0,0,0,1,39,1,1
3205372005,Garut,Sukalaksana,7.27959395,107.548719,2,6,2,0,0,8,1,0,0,0,9,0,0,0,0,0,0,0,0,39,1,0
3205372007,Garut,Mekarwangi,7.33284453,107.482573,2,2,1,1,0,3,0,0,0,0,4,0,0,0,0,0,0,0,1,12,1,0
3205312008,Garut,Sinarjaya,7.48786072,107.53936,3,3,3,2,0,8,1,0,0,0,3,0,0,0,0,0,34,0,0,89,0,0
3205312004,Garut,Tegalega,7.47207996,107.560309,3,5,2,1,0,9,1,0,0,0,2,0,0,0,0,50,99,0,1,90,0,2
3205312011,Garut,Wangunjaya,7.43611285,107.561941,3,6,3,1,0,9,1,0,0,0,3,0,0,0,1,0,0,0,0,123,2,2
3205312009,Garut,Mekarjaya,7.45944287,107.57472,8,6,3,3,0,10,1,2,0,0,3,0,0,0,0,24,31,0,0,94,0,2
3205312002,Garut,Hanjuang,7.46437018,107.592249,4,4,2,2,0,11,0,0,0,0,2,0,0,0,0,0,9,0,0,40,1,0
3205312006,Garut,Margalaksana,7.4864784,107.598068,1,3,1,0,0,8,1,0,0,0,1,0,0,0,0,0,11,0,0,11,0,0
3205312003,Garut,Gunamekar,7.47694484,107.616939,8,4,1,1,0,8,1,0,0,0,1,0,0,0,0,0,26,0,0,99,0,0
3205312001,Garut,Bungbulang,7.45572844,107.598349,7,9,3,1,0,12,1,0,0,1,15,0,0,0,0,103,133,0,0,297,4,5
3205312010,Garut,Cihikeu,7.44505781,107.59603,5,5,3,0,0,9,0,0,0,0,14,0,0,0,0,26,80,0,0,101,0,4
