ID;X1;X2;X3;X4;X5;X6;X7;X8;X9;X10;X11;Y
12510;10;11957;9;0.594718992;0.984496124;16772;0.838055718;0;0;4.3;2.3;0
12511;112;15994;16;0.441525055;0.980130719;14631;0.924750023;589;58110;13.7;6.3;0
12512;97;24769;75;0.871122376;0.996933463;4311;0.875657395;0;0;1;1;0
12513;235;160014;117;0.778555124;0.768287801;3311;0.731666667;1;5400;11.3;6.3;0
12514;216;55754;239;0.884255573;0.988711272;1472;0.398224102;0;0;8;5.7;0
12515;107;8607;13;0.804123711;1;2961;0.98630137;0;0;4;1.3;1
12516;25;11506;24;0.78717287;0.79452314;21388;0.645585137;50;5567;13.7;5.7;0
12517;374;55221;111;0.743121305;0.890760427;4197;0.720655271;131;13333;5.3;3.7;1
12518;333;193708;59;0.625354373;0.98828125;12611;0.927155427;0;0;17.7;4.7;1
12519;350;43257;160;0.702524548;0.995766151;9264;0.963279694;18;9513;14;7;0
12520;20;12990;4;0.892857143;1;333;1;10055;208056;5.7;3.7;1
12521;109;61228;69;0.766064036;0.888853997;5225;0.827783078;80;130;7.7;5.3;0
12522;58;59891;27;0.731009834;0.347802095;2619;0.404040404;46;27038;1;0.7;1
12523;6;4937;2;0.747222222;0.533333333;1989;0.254797441;1513;80969;2;2;1
12524;31;51287;32;0.812802099;1;4744;1;0;0;9;5;0
12525;85;16125;43;0.767586208;0.991805156;3106;0.990196078;12;20;2.7;2;0
12526;57;40017;53;0.77489918;0.995098039;467;0.851851852;0;0;14;6.7;0
12527;1;754;1;1;1;0;0;1528;32222;2;2.7;0
12528;44;51028;45;0.63532169;0.969082;14481;0.867827419;12;20;10.3;6;0
12529;0;208;0;1;1;5758;1;320;29273;9;3.3;0
12530;78;40238;48;0.778467327;0.96547003;9256;0.793282765;61;99;12.7;3.3;0
12531;14;15266;14;0.710098522;0.944444444;183;1;0;0;3.3;1.7;0
12532;232;27491;25;0.844609993;0.991319444;25514;0.981071405;48;4659;13;5;0
12533;66;19500;12;0.758333333;1;4503;0.985815603;0;0;6;4.7;0
12534;36;22657;22;0.736272472;0.678213281;717;0.875555556;345;16677;1.7;1.3;1
12535;43;37909;34;0.87026679;0.915138585;1625;0.725555556;1;3849;6.7;3.7;0
12536;15;32881;17;0.72698512;0.723670792;0;0;0;0;3;1.3;0
12537;380;80360;62;0.677626171;0.891531956;12992;0.825669341;0;0;8.7;3.7;0
12538;57;36302;57;0.895152037;0.988408178;18386;0.864502682;67;5387;2.3;1.7;0
12539;405;25335;64;0.686776894;0.991906242;15525;0.560668766;6;10812;7;3.7;0
12540;117;39028;63;0.824663071;0.996581197;1703;0.98245614;0;0;2.7;2.7;0
12541;24;15261;21;0.721733687;0.946859903;13286;0.74705432;0;0;5;2;0
12542;23;2851;6;0.73989899;0.895833333;2033;0.541935484;1083;27392;1.3;1;0
12543;118;11261;50;0.656434343;1;11174;1;12;20;6.7;3.7;0
12544;207;24492;55;0.737133337;1;900;1;0;0;9.3;6.3;0
12545;32;14546;11;0.801767677;1;5725;0.994871795;0;0;3;2;0
12546;3;2706;0;1;0;359;1;1313;25000;0;0;0
12547;16;41408;20;0.887626263;0.750650875;2481;0.727733686;512;34971;3.7;2.7;1
12548;44;8845;14;0.85;1;14225;0.988;44;71;6.3;4;0
12549;65;25782;9;0.684581281;0.929392447;0;0;313;507;1.7;1.3;0
12550;13;6340;12;0.590978276;0.927158078;2181;0.351125635;1424;18933;1.3;1;0
12551;209;33742;38;0.786415712;0.997991968;1761;0.939268461;0;0;6.7;5;0
12552;0;398;1;0.4;0.9;11919;0.48989899;659;1069;6;2.7;0
12553;33;17140;6;0.87654321;1;0;0;1215;74528;8;6.3;0
12554;115;68558;88;0.783604681;0.909840634;522;0.453703704;413;26229;0.7;0.7;0
12555;9;5208;2;0.863095238;0.43452381;232;1;567;26000;1.3;1;1
12556;29;3772;3;0.583333333;0.833333333;504;0.944444444;200;18872;3.3;2;0
12557;30;5994;20;0.731680048;0.97185846;14561;0.984027277;12;20;10;2.3;0
12558;335;5401;22;0.530489809;1;1203;0.979166667;19117;31000;6.3;2.7;0
12559;145;50287;64;0.681835082;0.998106061;2825;0.995780591;408;662;11.3;6;0
